inning,is_top_inning,score_diff,is_runner_on_first,is_runner_on_second,is_runner_on_third,outs,home_win_prob,weighted_avg_li,freq
1,0,-10,0,0,0,0,0.019310127312437,0.10321987460011,1
1,0,-10,0,0,0,1,0.0167731428173763,0.0612941396328808,0
1,0,-10,0,0,0,2,0.0152719024821397,0.0309553755041026,0
1,0,-10,0,0,1,0,0.0272448134567707,0.207766009904629,0
1,0,-10,0,0,1,1,0.0220736756000596,0.149215374265898,0
1,0,-10,0,0,1,2,0.0171581288344967,0.0998697911901239,0
1,0,-10,0,1,0,0,0.0256776361720742,0.202765454152387,0
1,0,-10,0,1,0,1,0.0204581365882678,0.137662441997544,0
1,0,-10,0,1,0,2,0.0169717136830415,0.0938128428781568,0
1,0,-10,0,1,1,0,0.0369627025023673,0.338946209294609,0
1,0,-10,0,1,1,1,0.0279749772121384,0.262539266772774,0
1,0,-10,0,1,1,2,0.0199639350497296,0.207808371193971,0
1,0,-10,1,0,0,0,0.0241752545460218,0.207871515315816,1
1,0,-10,1,0,0,1,0.0195970125221241,0.13550262766711,0
1,0,-10,1,0,0,2,0.0164660911103742,0.0761612579630188,0
1,0,-10,1,0,1,0,0.0350093337271327,0.329904006491877,0
1,0,-10,1,0,1,1,0.0261567711859802,0.252463412483458,0
1,0,-10,1,0,1,2,0.0192463841091204,0.177807306068098,0
1,0,-10,1,1,0,0,0.0329266132961696,0.357752968955974,1
1,0,-10,1,1,0,1,0.0247459049091703,0.252563342579921,1
1,0,-10,1,1,0,2,0.0188954943712811,0.169068215322818,1
1,0,-10,1,1,1,0,0.0474441109909194,0.55438504160168,0
1,0,-10,1,1,1,1,0.0341405310128755,0.435797747578662,0
1,0,-10,1,1,1,2,0.0235640441646337,0.353011095804035,0
1,0,-9,0,0,0,0,0.027285514340556,0.163912116756854,2
1,0,-9,0,0,0,1,0.0232471874012682,0.100734253672558,2
1,0,-9,0,0,0,2,0.0207752595961078,0.0532478930633214,2
1,0,-9,0,0,1,0,0.04035701983808,0.313800896657286,0
1,0,-9,0,0,1,1,0.0323143723956526,0.240413408957593,0
1,0,-9,0,0,1,2,0.0240605332476884,0.171378199175291,0
1,0,-9,0,1,0,0,0.0375248268770341,0.309408097407852,0
1,0,-9,0,1,0,1,0.0293659227475328,0.220795590311782,0
1,0,-9,0,1,0,2,0.0237012240393703,0.159856740653162,0
1,0,-9,0,1,1,0,0.0548588332459022,0.495310273307291,0
1,0,-9,0,1,1,1,0.04133886264308,0.403548998456,0
1,0,-9,0,1,1,2,0.028438789105015,0.339077493726565,0
1,0,-9,1,0,0,0,0.034869211867804,0.321875378326476,0
1,0,-9,1,0,0,1,0.0277795289789434,0.217021504307669,0
1,0,-9,1,0,0,2,0.0227425633894019,0.127283330398202,0
1,0,-9,1,0,1,0,0.0517295198405855,0.485675964254264,0
1,0,-9,1,0,1,1,0.0383640680136398,0.389817472090125,0
1,0,-9,1,0,1,2,0.0272714568324849,0.29057616218999,0
1,0,-7,0,1,1,0,0.117965081828091,0.919067678129578,0
1,0,-7,0,1,1,1,0.0917572738278951,0.809018907072864,0
1,0,-7,0,1,1,2,0.0643921072065085,0.734961764794751,0
1,0,0,0,1,0,0,0.607015932167799,1.30216368257663,400
1,0,0,0,1,0,1,0.56643451000472,1.23228320569139,537
1,0,0,0,1,0,2,0.532549864882034,1.17702091081058,603
1,0,0,0,1,1,0,0.682280010590743,1.55008508469504,61
